no,plot,block,date1,date2,date3,replanted,species,mycorrhiza,substrate,soilType,brickRatio,acid,soilMoisture1,soilMoisture2,soilMoisture3,soilMoisture4,soilMoisture5,soilMoisture6,diameter1,diameter2,diameter3,height1,height2,height3,bagMassStem,stemMassTotal,bagMassRestleaf,restleafMassTotal,leaf1Mass,leaf2Mass,leaf3Mass,leaf1Area,leaf2Area,leaf3Area,bagMassRestroot,restrootMassTotal,rootLength,rootVolume,rootTips,bagMassAbsorptivefineroot,absorptivefinerootMassTotal,bagMassTransportfineroot,transportfinerootMassTotal,comment
1,AY30Amyac,A,2019-03-20,2019-09-20,2020-06-29,0,Acer,Mycorrhiza,substrate_1,rich,30,Acid,19.6,20,26.7,16.1,16,14.9,12.8,16.8,18.3,96,113,119,31.5,86.5,9.7,39.4,0.69,0.47,0.64,107.2,82.5,112.5,22,134.4,497,0.474,4228,3.423,3.6,3.423,3.533,NA
2,AY30Anoac,A,2019-03-20,2019-09-20,2020-06-29,0,Acer,Control,substrate_1,rich,30,Acid,19.1,23,26.2,10.8,16.2,13.9,18.8,21,21.2,104,134,135,31.5,106,9.7,36.7,0.24,0.3,0.26,40.2,53.3,43.9,22,134.2,1466,1.311,4121,3.423,3.774,3.423,4.074,NA
3,AY30Tmyac,A,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Mycorrhiza,substrate_1,rich,30,Acid,19.3,24.7,26.9,19.4,15.4,12,14.9,18.9,21.1,87,95,106,22.2,96.1,9.7,29.6,0.18,0.15,0.15,34.4,32.3,29,22,96.6,736,0.37,4070,3.423,3.537,3.423,3.716,turbid
4,AY30Tnoac,A,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Control,substrate_1,rich,30,Acid,17.1,22.4,17.7,5,8.8,13.8,12.7,20.6,22.8,83,117,125,31.5,99.6,9.7,28.6,0.12,0.11,0.09,24.4,22.3,22,22,102.8,845,0.392,4278,3.423,3.491,3.423,3.594,NA
5,BY30Amyac,B,2019-03-20,2019-09-20,2020-06-29,0,Acer,Mycorrhiza,substrate_1,rich,30,Acid,15.9,15.6,16.8,11.3,18.8,14.1,11,12.8,14.4,97.5,106,110,9.7,64,9.7,40.1,0.42,0.75,0.61,65.1,92.7,87.3,22,136.2,1634,1.157,4788,3.423,3.709,3.423,3.74,turbid
6,BY30Anoac,B,2019-03-20,2019-09-20,2020-06-29,0,Acer,Control,substrate_1,rich,30,Acid,23.2,26.5,20.4,12.8,10.8,11.4,12.8,13.9,14.9,72.5,79,81,9.7,44.9,9.7,39.7,0.71,0.46,0.57,102.2,73.4,83.6,22,158.8,1027,0.915,2416,3.423,3.791,3.423,3.669,NA
7,BY30Tmyac,B,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Mycorrhiza,substrate_1,rich,30,Acid,14.4,19.1,15.9,8.9,8.3,8.3,18.6,25.6,29.1,60,105,121,9.7,102.2,9.7,34,0.18,0.19,0.1,33.4,31.1,17.1,22,190,1354,1.1,7024,3.423,3.759,3.423,3.694,turbid
8,BY30Tnoac,B,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Control,substrate_1,rich,30,Acid,22.7,24.6,17.9,7.8,8.1,7.6,12.5,17.7,19.8,87,103,118,9.7,70.5,9.7,27.9,0.15,0.16,0.13,26.5,25.7,24.7,22,104.8,1772,1.073,9073,3.423,3.869,3.423,4.105,NA
9,CY30Amyac,C,2019-03-20,2019-09-20,2020-06-29,0,Acer,Mycorrhiza,substrate_1,rich,30,Acid,22.7,28.1,25.5,11.3,14.5,14.2,9.3,10.7,11,65.5,88,90,9.7,42.8,9.7,33.1,0.58,0.31,0.64,85.3,47.2,92.3,22,112,1214,1.46,3453,3.423,3.742,3.423,3.635,NA
10,CY30Anoac,C,2019-03-20,2019-09-20,2020-06-29,0,Acer,Control,substrate_1,rich,30,Acid,20,21.5,22.5,6.9,7.8,6.4,16.5,19.9,20.6,64.5,84,120,9.7,58.5,9.7,35.9,1.55,1.08,0.61,217.9,160.4,85.9,22,167.2,1561,1.026,6418,3.423,3.742,3.423,3.613,NA
11,CY30Tmyac,C,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Mycorrhiza,substrate_1,rich,30,Acid,20.3,15.4,14,10,9.6,10.3,16.4,18.3,20.8,103.5,99,103,9.7,84.9,9.7,35.9,0.16,0.2,0.16,32.7,37.2,26.2,22,145.4,235,0.185,1433,3.423,3.421,3.423,3.557,NA
12,CY30Tnoac,C,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Control,substrate_1,rich,30,Acid,19.4,14.2,18.4,5.3,10.4,8.1,15.1,22.4,23.6,82,85,103,9.7,86,9.7,36.3,0.23,0.24,0.17,47.3,46.6,31.4,22,185.4,776,0.37,4073,3.423,3.508,3.423,3.657,NA
13,DY30Amyac,D,2019-04-10,2019-09-20,2020-06-29,1,Acer,Mycorrhiza,substrate_1,rich,30,Acid,24.6,20,25.1,13.2,14.6,18.8,9.5,10.6,13.2,93,107,134,9.7,49.4,9.7,23.8,0.93,0.66,0.62,158.5,110.7,114.9,22,114.2,448,0.397,1484,3.423,3.53,3.423,3.607,NA
14,DY30Anoac,D,2019-03-20,2019-09-20,2020-06-29,0,Acer,Control,substrate_1,rich,30,Acid,20.3,18.5,19,12.7,18.2,17.4,14.9,15.7,18.3,95.5,110,112,9.7,70.5,9.7,38.3,0.62,0.49,0.36,103.2,80.7,72,22,163.6,673,0.611,2359,3.423,3.619,3.423,3.676,NA
15,DY30Tmyac,D,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Mycorrhiza,substrate_1,rich,30,Acid,19.5,18.8,24.5,13.4,12.6,14.8,13,18.7,21,97.5,106,124,9.7,72.5,9.7,25.6,0.15,0.16,0.11,33.2,35.3,28.2,22,93,452,0.256,2502,3.423,3.497,3.423,3.492,NA
16,DY30Tnoac,D,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Control,substrate_1,rich,30,Acid,17.4,15.8,15.5,9.6,7,11.6,18.4,25.7,27.1,75.5,97,107,9.7,116.3,9.7,33.1,0.13,0.13,0.1,26.4,26.9,20.8,22,127.8,1283,0.803,6638,3.423,3.684,3.423,3.73,NA
17,EY30Amyac,E,2019-04-10,2019-09-20,2020-06-29,1,Acer,Mycorrhiza,substrate_1,rich,30,Acid,22.4,23,23.8,16,12.6,15.4,11.4,12.7,14,87,101,106,9.7,62.3,9.7,34.5,0.73,0.55,0.51,115.8,87.8,81.6,22,104.8,1107,1.183,2795,3.423,3.782,3.423,3.587,balls
18,EY30Anoac,E,2019-03-20,2019-09-20,2020-06-29,0,Acer,Control,substrate_1,rich,30,Acid,23.3,24.3,20.8,15.5,13.6,18.3,11.9,17.1,17.4,103.5,128,134,9.7,66.6,9.7,41.5,0.6,0.64,0.54,100.1,104.7,88.4,22,129.4,891,0.415,4139,3.423,3.619,3.423,3.618,NA
19,EY30Tmyac,E,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Mycorrhiza,substrate_1,rich,30,Acid,21.2,15.9,16.8,8.8,13.5,8.5,17.1,22,25.1,91,106,114,9.7,97.2,9.7,36.3,0.15,0.17,0.13,31.7,32,27.3,22,168.6,709,0.398,4921,3.423,3.568,3.423,4.256,NA
20,EY30Tnoac,E,2019-03-20,2019-09-20,2020-06-29,0,Tilia,Control,substrate_1,rich,30,Acid,15.7,17.5,14.6,7.9,8.2,11.6,14,22.4,22.5,85.5,95,99,31.5,95.1,9.7,25.2,0.15,0.17,0.13,36.5,37.2,29.4,22,133,1065,2.095,7568,3.423,3.652,3.423,4.027,balls
21,AY5Amyac,A,2019-03-20,2019-09-20,2020-06-29,0,Acer,Mycorrhiza,substrate_2,rich,5,Acid,20.7,23.6,23.2,17,13.4,17.9,8.5,11.9,12.5,73,87,98,22.2,81.4,9.7,37.9,0.39,0.44,0.34,64.5,72.7,62.3,22,115.2,609,0.463,1847,3.423,3.565,3.423,3.496,NA
